split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,All,Local-level state-space,10,3020,421,0.6398953158036103,0.9065670751952427,-0.19387471004466167,1.1931867566420005,71.73396674584322,3020,0.8437086092715231,2.1835823419388096,3020,0.9602649006622517,3.8354113112506085
development,All,Recent 10-calendar-year mean,1,3398,495,0.48221287412439184,0.6644146820394138,0.042971989176255714,0.8942961665905084,64.84848484848484,3398,0.8263684520306063,1.6318700052708277,3398,0.9608593290170688,2.890476820640739
development,All,Recent 10-calendar-year mean,3,3293,459,0.5310975219134634,0.7230506403923604,-0.0365099349348517,0.9907832297106254,65.57734204793029,3293,0.8305496507743699,1.8113768853899004,3293,0.9599149711509262,3.1571837599203336
development,All,Recent 10-calendar-year mean,5,3208,447,0.5510582192401792,0.7571770334908954,-0.1027677872806826,1.0293063331440275,66.66666666666666,3208,0.8460099750623441,1.9306579145293334,3208,0.9641521197007481,3.395572381179974
development,All,Recent 10-calendar-year mean,10,3020,421,0.621830768852605,0.8900750848485206,-0.138657026096629,1.1546465124703138,66.5083135391924,3020,0.8529801324503311,2.1633104969994315,3020,0.9615894039735099,3.755893718916066
development,All,Recent 3-calendar-year mean,1,3398,495,0.4830544369910507,0.6763468876323606,-0.023912680836655233,0.8970913653358159,59.79797979797979,3398,0.8237198351971748,1.6234567750715487,3398,0.9605650382577987,2.891793684536585
development,All,Recent 3-calendar-year mean,3,3293,459,0.5343402105933726,0.7420194172624387,-0.11083923261577858,0.9957875399580361,65.14161220043573,3293,0.8408745824476161,1.8799216773931198,3293,0.9650774369875493,3.3806235021988327
development,All,Recent 3-calendar-year mean,5,3208,447,0.5643846024972408,0.7832638382293421,-0.180548356059357,1.0520468503467386,65.77181208053692,3208,0.8453865336658354,2.013526536067839,3208,0.9638403990024937,3.590814714735338
development,All,Recent 3-calendar-year mean,10,3020,421,0.6609270175058501,0.929994950793253,-0.2145544174936985,1.2130126894604245,65.32066508313538,3020,0.8324503311258278,2.2216712334341873,3020,0.9579470198675497,3.938560321604702
development,All,Recent 5-calendar-year mean,1,3398,495,0.4756966805164373,0.6656490338668226,0.00890250300690127,0.8824853026352757,62.42424242424243,3398,0.8372572101236021,1.6321928559378551,3398,0.9635079458505003,2.9202376680784594
development,All,Recent 5-calendar-year mean,3,3293,459,0.527193109863215,0.7308728120872281,-0.07570052504627807,0.9861229122335787,65.359477124183,3293,0.8366231399939265,1.8187395304799798,3293,0.9593076222289706,3.1938772226733394
development,All,Recent 5-calendar-year mean,5,3208,447,0.5525035560011595,0.7681145676851504,-0.1416200475815019,1.0306907162415355,66.8903803131991,3208,0.837281795511222,1.9106409555804238,3208,0.9607231920199502,3.447304110714273
development,All,Recent 5-calendar-year mean,10,3020,421,0.637983819205904,0.9020977147818408,-0.17734206088069626,1.1751823312148446,68.88361045130641,3020,0.8437086092715231,2.204331266345257,3020,0.9635761589403974,3.9029569737664307
development,All,Shrink recent/long-run 25/75,1,3398,495,0.4897834721257227,0.6635329105847925,-0.028001503283465592,0.9209298329768782,61.01010101010102,3398,0.8349028840494408,1.6908264413433776,3398,0.9623307828134197,2.9709967328450015
